Epoch 125: 25it [00:00, 38.88it/s, loss=5.05e+3]
Epoch 126: 25it [00:00, 38.56it/s, loss=9.06e+3]
Epoch 127: 25it [00:00, 37.59it/s, loss=4.32e+3]
Epoch 128: 25it [00:00, 37.56it/s, loss=6.75e+3]
Epoch 129: 25it [00:00, 36.64it/s, loss=8.7e+3]
Epoch 130: 25it [00:00, 38.46it/s, loss=8.76e+3]
Epoch 131: 25it [00:00, 37.97it/s, loss=4.45e+3]
Epoch 132: 25it [00:00, 36.54it/s, loss=7.35e+3]
Epoch 133: 25it [00:00, 37.21it/s, loss=4.46e+3]
Epoch 134: 25it [00:00, 37.29it/s, loss=5.06e+3]
Epoch 135: 25it [00:00, 37.80it/s, loss=4.84e+3]
Epoch 136: 25it [00:00, 40.66it/s, loss=5.13e+3]
Epoch 137: 25it [00:00, 38.93it/s, loss=6.35e+3]
Epoch 138: 25it [00:00, 39.27it/s, loss=5.66e+3]
Epoch 139: 25it [00:00, 39.28it/s, loss=5.27e+3]
Epoch 140: 25it [00:00, 38.55it/s, loss=2.7e+3]
Epoch 141: 25it [00:00, 38.21it/s, loss=1e+4]
Epoch 142: 25it [00:00, 35.97it/s, loss=4.16e+3]
Epoch 143: 25it [00:00, 37.69it/s, loss=2.62e+3]
Epoch 144: 25it [00:00, 37.98it/s, loss=4.2e+3]
Epoch 145: 25it [00:00, 37.38it/s, loss=8.49e+3]
Epoch 146: 25it [00:00, 37.43it/s, loss=7.35e+3]
Epoch 147: 25it [00:00, 38.18it/s, loss=3.55e+3]
Epoch 148: 25it [00:00, 38.27it/s, loss=6.22e+3]
Epoch 149: 25it [00:00, 38.67it/s, loss=4.01e+3]
Epoch 150: 25it [00:00, 39.26it/s, loss=5.2e+3]
Epoch 151: 25it [00:00, 37.46it/s, loss=1.17e+4]
Epoch 152: 25it [00:00, 38.53it/s, loss=4.26e+3]
Epoch 153: 25it [00:00, 39.31it/s, loss=1.07e+4]
Epoch 154: 25it [00:00, 36.65it/s, loss=4.66e+3]
Epoch 155: 25it [00:00, 37.93it/s, loss=2.89e+3]
Epoch 156: 25it [00:00, 39.79it/s, loss=5.3e+3]
Epoch 157: 25it [00:00, 39.63it/s, loss=6.96e+3]
Epoch 158: 25it [00:00, 36.83it/s, loss=4.39e+3]
Epoch 159: 25it [00:00, 36.87it/s, loss=5.37e+3]
Epoch 160: 25it [00:00, 37.10it/s, loss=4.58e+3]
Epoch 161: 25it [00:00, 38.41it/s, loss=2.7e+3]
Epoch 162: 25it [00:00, 39.68it/s, loss=7.01e+3]
Epoch 163: 25it [00:00, 37.78it/s, loss=2.12e+4]
Epoch 164: 25it [00:00, 36.20it/s, loss=6.15e+3]
Epoch 165: 25it [00:00, 37.72it/s, loss=4.18e+3]
Epoch 166: 25it [00:00, 37.37it/s, loss=4.23e+3]
Epoch 167: 25it [00:00, 34.25it/s, loss=2.04e+3]
Epoch 168: 25it [00:00, 35.30it/s, loss=2.88e+3]
Epoch 169: 25it [00:00, 37.16it/s, loss=2.11e+3]
Epoch 170: 25it [00:00, 36.07it/s, loss=4.24e+3]
Epoch 171: 25it [00:00, 37.10it/s, loss=3.33e+3]
Epoch 172: 25it [00:00, 36.63it/s, loss=4.77e+3]
Epoch 173: 25it [00:00, 35.72it/s, loss=2.71e+3]
Epoch 174: 25it [00:00, 37.15it/s, loss=3.12e+3]
Epoch 175: 25it [00:00, 37.13it/s, loss=2.62e+3]
Epoch 176: 25it [00:00, 36.19it/s, loss=3.95e+3]
Epoch 177: 25it [00:00, 38.76it/s, loss=4.48e+3]
Epoch 178: 25it [00:00, 37.98it/s, loss=3.57e+3]
Epoch 179: 25it [00:00, 38.80it/s, loss=3.11e+3]
Epoch 180: 25it [00:00, 36.58it/s, loss=3.19e+3]
Epoch 181: 25it [00:00, 38.13it/s, loss=4.28e+3]
Epoch 182: 25it [00:00, 37.44it/s, loss=4.02e+3]
Epoch 183: 25it [00:00, 37.43it/s, loss=6.37e+3]
